"time","INTERNAL ENERGY","KINETIC ENERGY","X-MOMENTUM","Y-MOMENTUM","Z-MOMENTUM","MASS","TIME STEP","ROTATION ENERGY","EXTERNAL WORK","SPRING ENERGY","CONTACT ENERGY","HOURGLASS ENERGY","Skull                                     IE ","Skull                                     KE ","Skull                                     XMOM ","Skull                                     YMOM ","Skull                                     ZMOM ","Skull                                     MASS ","Skull                                     HE ","Skull                                     HEAT ","Skull                                     HEAT ","Skin                                      IE ","Skin                                      KE ","Skin                                      XMOM ","Skin                                      YMOM ","Skin                                      ZMOM ","Skin                                      MASS ","Skin                                      HE ","Skin                                      HEAT ","Skin                                      HEAT ","Accel Block                               IE ","Accel Block                               KE ","Accel Block                               XMOM ","Accel Block                               YMOM ","Accel Block                               ZMOM ","Accel Block                               MASS ","Accel Block                               HE ","Accel Block                               HEAT ","Accel Block                               HEAT ","Back Plate                                IE ","Back Plate                                KE ","Back Plate                                XMOM ","Back Plate                                YMOM ","Back Plate                                ZMOM ","Back Plate                                MASS ","Back Plate                                HE ","Back Plate                                HEAT ","Back Plate                                HEAT ","Elasto_plastic                            IE ","Elasto_plastic                            KE ","Elasto_plastic                            XMOM ","Elasto_plastic                            YMOM ","Elasto_plastic                            ZMOM ","Elasto_plastic                            MASS ","Elasto_plastic                            HE ","Elasto_plastic                            HEAT ","Elasto_plastic                            HEAT ","Plate                                     IE ","Plate                                     KE ","Plate                                     XMOM ","Plate                                     YMOM ","Plate                                     ZMOM ","Plate                                     MASS ","Plate                                     HE ","Plate                                     HEAT ","Plate                                     HEAT ","TH-ACCEL                                 1                                          var 67","TH-ACCEL                                 1                                          var 68","TH-ACCEL                                 1                                          var 69","TH-INTER                                 1 Head_self_Contact                        var 70","TH-INTER                                 1 Head_self_Contact                        var 71","TH-INTER                                 1 Head_self_Contact                        var 72","TH-INTER                                 1 Head_self_Contact                        var 73","TH-INTER                                 1 Head_self_Contact                        var 74","TH-INTER                                 1 Head_self_Contact                        var 75","TH-INTER                                 2 Head to Windscreen                       var 76","TH-INTER                                 2 Head to Windscreen                       var 77","TH-INTER                                 2 Head to Windscreen                       var 78","TH-INTER                                 2 Head to Windscreen                       var 79","TH-INTER                                 2 Head to Windscreen                       var 80","TH-INTER                                 2 Head to Windscreen                       var 81","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 82","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 83","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 84","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 85","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 86","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 87","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 88","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 89","DATABASE_HISTORY_NODE                    33467 Head_Accelerometer                       var 90"
0.000000e+00,0.000000e+00,1.694687e+04,8.009733e+00,0.000000e+00,-9.545629e+00,1.558043e-02,9.186300e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.396149e+03,6.598728e-01,0.000000e+00,-7.864060e-01,3.774191e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.395762e+03,6.596898e-01,0.000000e+00,-7.861876e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.323073e+00,-1.175222e-04,2.980232e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.748382e+03,0.000000e+00,-2.083641e+03,-2.136030e+00,1.175222e-04,2.545622e+00
1.001308e-04,3.469433e-03,1.696938e+04,8.020373e+00,-3.536913e-07,-9.558307e+00,1.558651e-02,9.186324e-07,3.254183e-10,0.000000e+00,0.000000e+00,4.778420e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.404133e-05,1.396153e+03,6.598733e-01,-4.855497e-08,-7.864072e-01,3.774191e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.405391e-03,1.395765e+03,6.596896e-01,-4.876728e-08,-7.861884e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.005297e+02,2.867058e+01,3.368176e+02,9.027633e-07,-8.759228e-07,1.547864e-06,-5.356363e-07,-9.847984e-08,9.333713e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.750668e-01,-1.220870e-09,-2.086366e-01,1.748382e+03,-4.481055e-05,-2.083639e+03,-6.484101e+01,-2.867058e+01,-4.467212e+02
2.002617e-04,7.808341e-03,1.696943e+04,8.020397e+00,-3.570258e-07,-9.558336e+00,1.558653e-02,9.186300e-07,1.450509e-09,0.000000e+00,0.000000e+00,1.088808e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.527802e-04,1.396150e+03,6.598722e-01,1.783049e-07,-7.864069e-01,3.774192e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.655561e-03,1.395761e+03,6.596892e-01,1.779637e-07,-7.861887e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.451293e+02,3.813193e+02,6.432748e+02,1.103718e-06,-9.111375e-07,4.197625e-06,7.760710e-07,5.240629e-07,1.119903e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.501340e-01,4.250494e-09,-4.172734e-01,1.748382e+03,-3.814261e-04,-2.083640e+03,5.046035e+01,-3.813193e+02,-1.060896e+03
3.003926e-04,1.228985e-02,1.696947e+04,8.020415e+00,-3.542285e-07,-9.558359e+00,1.558654e-02,9.186319e-07,3.421911e-10,0.000000e+00,0.000000e+00,1.620018e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.436875e-04,1.396148e+03,6.598736e-01,-7.857193e-08,-7.864050e-01,3.774192e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.204616e-02,1.395760e+03,6.596899e-01,-7.884552e-08,-7.861875e-01,3.773142e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.783555e+02,-6.023640e+02,-1.563898e+02,1.655925e-06,-1.930538e-06,7.114051e-06,4.431942e-07,1.010020e-06,1.051428e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.252011e-01,1.471199e-08,-6.259103e-01,1.748382e+03,-4.523699e-04,-2.083642e+03,5.157141e+00,6.023640e+02,2.371537e+02
4.005236e-04,1.677021e-02,1.697012e+04,8.020723e+00,-6.674327e-07,-9.558724e+00,1.558672e-02,9.186334e-07,8.465751e-10,0.000000e+00,0.000000e+00,2.263066e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.346764e-04,1.396148e+03,6.598731e-01,-4.140377e-07,-7.864051e-01,3.774191e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.643554e-02,1.395758e+03,6.596897e-01,-4.141593e-07,-7.861856e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.674199e+02,-2.058852e+02,-8.690707e+01,1.043988e-06,-2.053242e-06,8.273967e-06,-5.739447e-08,8.971601e-07,3.947744e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.002683e-01,1.749344e-08,-8.345473e-01,1.748382e+03,-8.380035e-05,-2.083641e+03,-4.909912e+02,2.058852e+02,7.203455e+02
5.006545e-04,2.130665e-02,1.697012e+04,8.020726e+00,-6.661123e-07,-9.558730e+00,1.558672e-02,9.186324e-07,9.590047e-11,0.000000e+00,0.000000e+00,2.853737e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.265524e-04,1.396151e+03,6.598735e-01,-1.749146e-06,-7.864063e-01,3.774191e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.088010e-02,1.395762e+03,6.596891e-01,-1.748880e-06,-7.861872e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.099105e+02,-8.793985e+00,-1.538539e+02,-5.554783e-08,-2.933368e-06,9.413409e-06,9.783743e-07,1.311501e-06,-1.390429e-07,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.753354e-01,3.251660e-08,-1.043184e+00,1.748381e+03,7.023817e-04,-2.083640e+03,5.741801e+02,8.793985e+00,-4.449283e+02
6.007855e-04,2.576987e-02,1.697079e+04,8.021041e+00,-8.662208e-07,-9.559104e+00,1.558690e-02,9.186324e-07,7.004201e-11,0.000000e+00,0.000000e+00,3.517266e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.170783e-04,1.396153e+03,6.598740e-01,-1.164775e-06,-7.864070e-01,3.774191e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.525279e-02,1.395762e+03,6.596903e-01,-1.164073e-06,-7.861882e-01,3.773142e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.939372e+02,3.662822e+02,2.468206e+02,-9.470339e-07,-2.653577e-06,1.002907e-05,9.156812e-07,3.181446e-06,-1.414268e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.050403e+00,3.996767e-08,-1.251821e+00,1.748381e+03,4.066967e-04,-2.083640e+03,-1.367860e-01,-3.662822e+02,-3.838222e+02
7.009164e-04,3.025588e-02,1.697080e+04,8.021044e+00,-8.671554e-07,-9.559109e+00,1.558690e-02,9.186331e-07,1.504264e-09,0.000000e+00,0.000000e+00,4.112412e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.081585e-04,1.396146e+03,6.598724e-01,-1.823270e-07,-7.864048e-01,3.774192e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.964772e-02,1.395757e+03,6.596891e-01,-1.825206e-07,-7.861852e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.593383e+02,-3.076499e+02,-2.020404e+01,-1.994521e-06,-2.890905e-06,1.168742e-05,1.134451e-06,1.905629e-06,-2.302947e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.225470e+00,2.625344e-08,-1.460458e+00,1.748382e+03,-4.358276e-04,-2.083641e+03,4.392911e+02,3.076499e+02,-4.920960e+02
8.001287e-04,3.467839e-02,1.697080e+04,8.021047e+00,-8.672864e-07,-9.559108e+00,1.558690e-02,9.186331e-07,1.824769e-09,0.000000e+00,0.000000e+00,4.747486e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.987175e-04,1.396154e+03,6.598740e-01,2.493197e-07,-7.864072e-01,3.774192e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.397967e-02,1.395765e+03,6.596898e-01,2.494662e-07,-7.861882e-01,3.773143e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.029666e+03,2.766378e+02,2.214992e+02,-2.515574e-06,-2.377832e-06,1.271123e-05,5.437404e-07,1.636466e-06,-2.573988e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.398931e+00,-1.404219e-08,-1.667181e+00,1.748381e+03,-7.902904e-04,-2.083639e+03,4.921769e+02,-2.766378e+02,-9.311471e+02
9.002597e-04,3.916021e-02,1.697147e+04,8.021365e+00,-7.639497e-07,-9.559489e+00,1.558708e-02,9.186328e-07,1.678886e-09,0.000000e+00,0.000000e+00,5.407165e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.890461e-04,1.396146e+03,6.598727e-01,2.205101e-06,-7.864048e-01,3.774192e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.837116e-02,1.395757e+03,6.596889e-01,2.204667e-06,-7.861863e-01,3.773142e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.909634e+02,-4.516233e+01,1.736818e+01,-2.947091e-06,-2.877998e-06,1.492160e-05,-6.860757e-08,1.556039e-06,-2.313325e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.573998e+00,-7.993012e-08,-1.875818e+00,1.748382e+03,-1.771411e-03,-2.083641e+03,-2.646109e+02,4.516233e+01,2.883316e+02
1.000391e-03,4.362365e-02,1.697150e+04,8.021376e+00,-7.634215e-07,-9.559500e+00,1.558709e-02,9.186320e-07,2.421719e-09,0.000000e+00,0.000000e+00,6.100525e-05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.795251e-04,1.396149e+03,6.598723e-01,7.322085e-07,-7.864062e-01,3.774192e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.274412e-02,1.395760e+03,6.596879e-01,7.325577e-07,-7.861872e-01,3.773142e-04,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.336952e+00,1.629495e+02,1.313432e+02,-2.562756e-06,-3.216728e-06,1.716375e-05,-8.698350e-07,5.970874e-07,-1.958010e-06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.749065e+00,-1.732062e-07,-2.084455e+00,1.748383e+03,-7.813636e-04,-2.083640e+03,-1.027598e+02,-1.629495e+02,-8.186945e+01
